"site","ent","sitio","red","red_name","cve_ent","nom_ent","cve_mun","nom_mun","cve_sun","nom_sun","pob_2018","cve_loc","nom_loc","entidad"
"CES","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09007","Iztapalapa","M09.01","Valle de México",1791658.21371,NA,NA,"Ciudad de México"
"CHO","Ciudad de México","ZMVM","ZMVM","Valle de México","15","México","15025","Chalco","M09.01","Valle de México",382237.70985,NA,NA,"Estado de México"
"COY","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09003","Coyoacán","M09.01","Valle de México",604363.98988,NA,NA,"Ciudad de México"
"CUA","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09004","Cuajimalpa de Morelos","M09.01","Valle de México",192823.00697,NA,NA,"Ciudad de México"
"CUT","Ciudad de México","ZMVM","ZMVM","Valle de México","15","México","15095","Tepotzotlán","M09.01","Valle de México",113009.35637,NA,NA,"Estado de México"
"FAC","Ciudad de México","ZMVM","ZMVM","Valle de México","15","México","15057","Naucalpan de Juárez","M09.01","Valle de México",926802.06609,NA,NA,"Estado de México"
"FAR","Ciudad de México","ZMVM","ZMVM","Valle de México","15","México","15058","Nezahualcóyotl","M09.01","Valle de México",1208211.72566,NA,NA,"Estado de México"
"GAM","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09005","Gustavo A. Madero","M09.01","Valle de México",1157758.00786,NA,NA,"Ciudad de México"
"HAN","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09017","Venustiano Carranza","M09.01","Valle de México",413939.23845,NA,NA,"Ciudad de México"
"HGM","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09015","Cuauhtémoc","M09.01","Valle de México",528441.76217,NA,NA,"Ciudad de México"
"IZT","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09006","Iztacalco","M09.01","Valle de México",371186.15347,NA,NA,"Ciudad de México"
"LAG","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09015","Cuauhtémoc","M09.01","Valle de México",528441.76217,NA,NA,"Ciudad de México"
"LLA","Ciudad de México","ZMVM","ZMVM","Valle de México","15","México","15033","Ecatepec de Morelos","M09.01","Valle de México",1818938.94493,NA,NA,"Estado de México"
"LPR","Ciudad de México","ZMVM","ZMVM","Valle de México","15","México","15104","Tlalnepantla de Baz","M09.01","Valle de México",719304.02296,NA,NA,"Estado de México"
"MER","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09017","Venustiano Carranza","M09.01","Valle de México",413939.23845,NA,NA,"Ciudad de México"
"MGH","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09016","Miguel Hidalgo","M09.01","Valle de México",377352.01766,NA,NA,"Ciudad de México"
"MON","Ciudad de México","ZMVM","ZMVM","Valle de México","15","México","15099","Texcoco","M09.01","Valle de México",277617.73041,NA,NA,"Estado de México"
"MPA","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09009","Milpa Alta","M09.01","Valle de México",137930.66766,NA,NA,"Ciudad de México"
"NEZ","Ciudad de México","ZMVM","ZMVM","Valle de México","15","México","15058","Nezahualcóyotl","M09.01","Valle de México",1208211.72566,NA,NA,"Estado de México"
"PED","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09010","Álvaro Obregón","M09.01","Valle de México",729013.65321,NA,NA,"Ciudad de México"
"PLA","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09010","Álvaro Obregón","M09.01","Valle de México",729013.65321,NA,NA,"Ciudad de México"
"SAC","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09007","Iztapalapa","M09.01","Valle de México",1791658.21371,NA,NA,"Ciudad de México"
